sitio,ponto,data,especie,individuo,abund_50,abund_L,altura,comp_raiz,comp_folha,larg_folha,comp_peciolo,larg_caule,grau_herbivoria
Guaraguacu,M1,abr./16,Apalanthe_sp,1,1,1,6.5,1,0.6,0.05,NA,0.05,0
Guaraguacu,M1,abr./16,Apalanthe_sp,2,1,1,9,6,0.4,0.05,NA,0.15,0
Guaraguacu,M1,abr./16,Eichhornia_crassipes,1,1,2,15,19,4.7,3.6,11,0.6,2
Guaraguacu,M1,abr./16,Eichhornia_crassipes,2,1,2,17.5,41,7.5,7.5,13,1.5,3
Guaraguacu,M1,abr./16,Eichhornia_crassipes,3,1,2,25,40,6.5,8,16,1,3
Guaraguacu,M1,abr./16,Eleocharis_tenuissima,1,4,5,71,NA,71,0.4,NA,NA,0
Guaraguacu,M1,abr./16,Eleocharis_tenuissima,2,4,5,90,NA,90,0.5,NA,NA,0
Guaraguacu,M1,abr./16,Eleocharis_tenuissima,3,4,5,147,NA,147,0.5,NA,NA,0
Guaraguacu,M1,abr./16,Eleocharis_geniculata,1,4,5,33,NA,39,0.2,NA,NA,0
Guaraguacu,M1,abr./16,Eleocharis_geniculata,2,4,5,45,NA,55,0.2,NA,NA,0
Guaraguacu,M1,abr./16,Eleocharis_geniculata,3,4,5,50,NA,54,0.15,NA,NA,0
Guaraguacu,M1,abr./16,Hymenachne_amplexicaulis,1,2,2,40,NA,12,2.8,NA,0.4,2
Guaraguacu,M1,abr./16,Hymenachne_amplexicaulis,2,2,2,62,NA,9,2.4,NA,0.4,2
Guaraguacu,M1,abr./16,Hymenachne_amplexicaulis,3,2,2,99,NA,14.5,3,NA,0.5,0
Guaraguacu,M1,abr./16,Ludwigia_peruviana,1,1,2,22,19,4.2,2.3,0.7,0.3,2
Guaraguacu,M1,abr./16,Ludwigia_peruviana,2,1,2,24,22,9,4.7,1.2,0.8,2
Guaraguacu,M1,abr./16,Ludwigia_peruviana,3,1,2,38,19,8,4.4,1.2,0.7,1
Guaraguacu,M1,abr./16,Nymphaea_sp,1,2,5,0.01,20,30,29,169,NA,3
Guaraguacu,M1,abr./16,Nymphaea_sp,2,2,5,0.01,12.5,26,24,216,NA,3
Guaraguacu,M1,abr./16,Nymphaea_sp,3,2,5,0.01,5,30.5,26.5,198,NA,5
Guaraguacu,M1,abr./16,Polygonum_punctatum,1,1,1,13,42,8.5,1.3,NA,0.4,3
Guaraguacu,M1,abr./16,Polygonum_punctatum,2,1,1,15,5.5,9.5,1.7,NA,0.5,4
Guaraguacu,M1,abr./16,Polygonum_punctatum,3,1,1,17,6.5,5.5,1.2,NA,0.4,3
Guaraguacu,M1,abr./16,Ricciocarpus_natans,1,1,1,0.1,0.3,0.4,0.3,NA,NA,0
Guaraguacu,M1,abr./16,Ricciocarpus_natans,2,1,1,0.1,0.6,0.4,0.3,NA,NA,0
Guaraguacu,M1,abr./16,Ricciocarpus_natans,3,1,1,0.1,0.6,0.4,0.4,NA,NA,0
Guaraguacu,M1,abr./16,Rhyncosphora_sp,1,2,3,73,NA,51,0.7,NA,NA,3
Guaraguacu,M1,abr./16,Rhyncosphora_sp,2,2,3,120,NA,28,1,NA,NA,2
Guaraguacu,M1,abr./16,Rhyncosphora_sp,3,2,3,132,NA,38,1.3,NA,NA,2
Guaraguacu,M1,abr./16,Salvinia_biloba,1,1,1,0.1,3,1.2,1,0.5,0.1,4
Guaraguacu,M1,abr./16,Salvinia_biloba,2,1,1,0.1,3,1.2,1,0.5,0.1,4
Guaraguacu,M1,abr./16,Salvinia_biloba,3,1,1,0.2,0.7,0.9,0.5,0.35,0.1,1
Guaraguacu,M1,abr./16,Utricularia_gibba,1,1,1,6,NA,0.3,0.05,NA,0.05,0
Guaraguacu,M1,abr./16,Utricularia_gibba,2,1,1,6.5,NA,0.2,0.02,NA,0.05,0
Guaraguacu,M10,abr./16,Crinum_americanum,1,5,5,66,NA,73.5,3.4,NA,NA,0
Guaraguacu,M10,abr./16,Crinum_americanum,2,5,4,46,NA,98,3.8,NA,NA,0
Guaraguacu,M10,abr./16,Crinum_americanum,3,5,5,92,NA,95,4.2,NA,NA,1
Guaraguacu,M10,abr./16,Eichhornia_crassipes,1,1,1,2.9,8.2,1.6,1.9,0.7,0.5,1
Guaraguacu,M10,abr./16,Eichhornia_crassipes,2,1,1,7.5,32,3.8,5.4,5.7,0.75,3
Guaraguacu,M10,abr./16,Eichhornia_crassipes,3,1,1,7.5,10.8,3.8,5.9,6.4,0.6,2
Guaraguacu,M10,abr./16,Pistia_stratiotes,1,1,1,3,9,5,5.5,1,0.35,2
Guaraguacu,M10,abr./16,Pistia_stratiotes,2,1,1,2.8,4.4,3.8,3.6,0.8,0.25,3
Guaraguacu,M10,abr./16,Pistia_stratiotes,3,1,1,4.2,15.5,6.2,5.3,2,0.25,3
Guaraguacu,M2,abr./16,Azolla_caroliniana,1,1,1,0.1,4.3,0.1,0.2,NA,NA,0
Guaraguacu,M2,abr./16,Azolla_caroliniana,2,1,1,0.1,6.5,0.05,0.1,NA,NA,0
Guaraguacu,M2,abr./16,Azolla_caroliniana,3,1,1,0.15,1.8,0.15,0.3,NA,NA,0
Guaraguacu,M2,abr./16,Egeria_najas,1,1,1,0,0.2,0.5,0.45,NA,NA,0
Guaraguacu,M2,abr./16,Egeria_najas,2,1,1,0,0.3,0.65,0.7,NA,NA,0
Guaraguacu,M2,abr./16,Egeria_najas,3,1,1,0,0.35,0.5,0.6,NA,NA,0
Guaraguacu,M2,abr./16,Eichhornia_crassipes,1,2,4,8,15.5,5.9,6.2,7.6,0.7,2
Guaraguacu,M2,abr./16,Eichhornia_crassipes,2,2,4,10,43,7,8,13,0.8,5
Guaraguacu,M2,abr./16,Eichhornia_crassipes,3,2,5,17,27,6.5,7.5,17,0.9,5
Guaraguacu,M2,abr./16,Eleocharis_geniculata,1,4,5,25,NA,28,0.2,NA,NA,0
Guaraguacu,M2,abr./16,Eleocharis_geniculata,2,4,5,44,11.5,121,0.15,NA,NA,2
Guaraguacu,M2,abr./16,Eleocharis_geniculata,3,4,5,59,NA,91,0.1,NA,NA,0
Guaraguacu,M2,abr./16,Hymenachne_amplexicaulis,1,4,4,55,21,17.5,2.9,NA,0.55,1
Guaraguacu,M2,abr./16,Hymenachne_amplexicaulis,2,4,4,55,23,19,3.1,NA,0.5,2
Guaraguacu,M2,abr./16,Hymenachne_amplexicaulis,3,4,4,91,20,18.5,3,NA,0.4,0
Guaraguacu,M2,abr./16,Lemna_sp,1,1,1,0,1.3,0.3,0.15,NA,NA,0
Guaraguacu,M2,abr./16,Ludwigia_peruviana,1,1,3,42,43,5.5,2.4,0.7,0.5,1
Guaraguacu,M2,abr./16,Ludwigia_peruviana,2,1,3,43,46,5.5,2.7,0.4,0.6,2
Guaraguacu,M2,abr./16,Ludwigia_peruviana,3,1,3,60,48,5.7,2.7,0.45,0.5,1
Guaraguacu,M2,abr./16,Myriophyllum_aquaticum,2,1,1,3.1,14.5,1.5,0.6,0.35,0.3,0
Guaraguacu,M2,abr./16,Myriophyllum_aquaticum,3,1,1,3.5,7.5,1.3,0.5,0.35,0.15,0
